Original Rank,Title,Original Rating,Number of Ratings,Oscars Won,Ratings Number Penalty,Oscars Adjustment,Adjusted Rating
1,A remény rabjai,9.2,2567232,0,0.0,0.0,9.2
2,A keresztapa,9.2,1767221,3,-0.8,0.5,8.9
3,A sötét lovag,9.0,2531304,2,0.0,0.3,9.3
4,A keresztapa II,9.0,1222835,6,-1.3,1.0,8.7
5,Tizenkét dühös ember,9.0,758207,0,-1.8,0.0,7.2
6,Schindler listája,8.9,1308198,7,-1.2,1.0,8.7
7,A Gyűrűk Ura: A király visszatér,8.9,1766356,11,-0.8,1.5,9.6
8,Ponyvaregény,8.9,1970820,1,-0.5,0.3,8.7
9,A Gyűrűk Ura: A gyűrű szövetsége,8.8,1788095,4,-0.7,0.5,8.6
10,"A Jó, a Rossz és a Csúf",8.8,738514,0,-1.8,0.0,7.0
11,Forrest Gump,8.8,1980167,6,-0.5,1.0,9.3
12,Harcosok klubja,8.8,2020028,0,-0.5,0.0,8.3
13,Eredet,8.7,2253138,4,-0.3,0.5,8.9
14,A Gyűrűk Ura: A két torony,8.7,1595785,2,-0.9,0.3,8.1
15,A Birodalom visszavág,8.7,1242221,1,-1.3,0.3,7.7
16,Mátrix,8.7,1847949,4,-0.7,0.5,8.5
17,Nagymenők,8.7,1107856,1,-1.4,0.3,7.6
18,Száll a kakukk fészkére,8.6,978173,5,-1.5,0.5,7.6
19,Hetedik,8.6,1574070,0,-0.9,0.0,7.7
20,A hét szamuráj,8.6,337322,0,-2.2,0.0,6.4
